domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
savingsbonds.gov,29092,113224,25161,3.891929053,126.4611577,29092
tampa.va.gov,29092,37741,20443,1.297298226,19.32459095,30665
xk.usembassy.gov,29092,48749,15726,1.675684037,139.9748728,29092
blog.dol.gov,28306,40887,34596,1.444464071,97.63926376,25161
denver.va.gov,28306,44818,21230,1.583339221,55.50021197,28306
dodig.mil,28306,32238,8649,1.138910478,103.8337455,28306
earthdata.nasa.gov,28306,51895,27520,1.833356885,80.55585388,26734
georgewbushlibrary.smu.edu,28306,37741,24375,1.333321557,24.55564191,28306
hudoig.gov,28306,42459,20443,1.5,106.0281919,28306
modernmoney.treasury.gov,28306,60544,25161,2.138910478,85.80590687,27520
research.va.gov,28306,75483,28306,2.666678443,240.2787042,30665
search.bea.gov,28306,55040,14939,1.944464071,214.3897407,15726
section508.gov,28306,83346,20443,2.944464071,160.6950823,26734
usahire.opm.gov,28306,917590,17298,32.41680209,1832.923832,28306
uscis.usajobs.gov,28306,91209,18084,3.2222497,118.3893521,28306
washingtondc.va.gov,28306,46391,22802,1.638910478,111.472656,28306
www2a.cdc.gov,28306,84132,25161,2.972232036,260.9176853,25947
dod.usajobs.gov,27520,78628,17298,2.857122093,186.0845567,26734
jru.usconsulate.gov,27520,73124,19657,2.657122093,272.7697311,26734
nz.usembassy.gov,27520,62902,25947,2.28568314,126.1992369,27520
orlando.va.gov,27520,72338,25947,2.628561047,170.2275073,32238
search.copyright.gov,27520,60544,20443,2.2,93.05657703,27520
search.navy.mil,27520,68406,19657,2.48568314,132.1134811,25947
ssaikansascity.usajobs.gov,27520,105362,4718,3.828561047,358.0549419,28306
state.usajobs.gov,27520,79414,15726,2.88568314,141.7134084,26734
cccbdb.nist.gov,26734,65261,11794,2.441123663,56.881387,26734
cops.usdoj.gov,26734,62902,23588,2.352883968,78.1751702,26734
geneed.nlm.nih.gov,26734,44032,22016,1.647041221,305.9065983,26734
lk.usembassy.gov,26734,70765,22016,2.647003815,116.6156954,26734
nixonlibrary.gov,26734,58971,23588,2.205842747,34.99940151,26734
nssdc.gsfc.nasa.gov,26734,69979,25161,2.617603052,185.261577,24375
plainlanguage.gov,26734,51895,24375,1.941161068,95.67487095,26734
telework.gov,26734,113224,20443,4.235206105,366.5232288,26734
www-s.nist.gov,26734,97499,22016,3.647003815,156.2326625,25161
digitalgov.gov,25947,34596,21230,1.333333333,22.54568929,25947
eac.gov,25947,48749,24375,1.878791382,108.7284079,25947
feedthefuture.gov,25947,62902,18871,2.424249432,169.698732,25161
govsales.gov,25947,165119,18084,6.363702933,257.9723667,25161
labornet.dol.gov,25947,61330,9435,2.363664393,222.3356457,24375
nightsky.jpl.nasa.gov,25947,48749,17298,1.878791382,64.75823795,25947
pepfar.gov,25947,62116,22016,2.393956912,143.6378387,25947
pubag.nal.usda.gov,25947,35383,22016,1.363664393,63.303696,25947
search.dea.gov,25947,65261,23588,2.51516553,114.1526959,25947
usda.usajobs.gov,25947,140744,22016,5.424287972,334.0337611,26734
by.usembassy.gov,25161,72338,16512,2.875004968,222.5936568,25161
fisheries.noaa.gov,25161,38528,25161,1.531258694,38.43746274,24375
vcf.gov,25161,48749,11008,1.937482612,123.7186916,25161
az.water.usgs.gov,24375,36169,1573,1.48385641,58.77349744,24375
competition.usmint.gov,24375,47177,15726,1.935466667,42.35433846,24375
disc.gsfc.nasa.gov,24375,39314,15726,1.612882051,163.5141744,22016
geonames.usgs.gov,24375,37741,12580,1.548348718,10.45148718,24375
jm.usembassy.gov,24375,64475,20443,2.645128205,264.4484103,25161
mcc.gov,24375,111652,21230,4.580594872,308.5769436,24375
nationsreportcard.gov,24375,45604,18084,1.870933333,106.4825846,23588
noaanews.noaa.gov,24375,29879,25947,1.225805128,57.45091282,23588
arc.publicdebt.treas.gov,23588,103003,11008,4.366754282,439.7079447,22802
blog.usaid.gov,23588,39314,18084,1.66669493,148.5359929,23588
chpl.healthit.gov,23588,36955,17298,1.566686451,241.8377141,24375
cumulis.epa.gov,23588,142317,36169,6.033449211,235.0375615,34596
epic.gsfc.nasa.gov,23588,73124,17298,3.100050873,88.16826352,22802
espanol.vaccines.gov,23588,62902,22802,2.66669493,89.40160251,23588
flra.gov,23588,51108,19657,2.16669493,57.43437341,23588
hab.hrsa.gov,23588,51108,18871,2.16669493,200.636934,25947
nas.nasa.gov,23588,38528,18871,1.633372901,17.90033068,22802
nl.usembassy.gov,23588,67620,16512,2.866711887,252.7378752,24375
ovcttac.gov,23588,73910,14153,3.133372901,237.7042988,19657
search.tpwd.texas.gov,23588,40100,22016,1.700016958,158.5362048,23588
stats.bls.gov,23588,55826,22802,2.366711887,45.50080549,23588
swfsc.noaa.gov,23588,35383,22802,1.500042394,106.4685857,23588
women.smokefree.gov,23588,29092,21230,1.233338986,6.433440733,23588
alaskacenters.gov,22802,27520,22016,1.206911674,44.4830278,22802
biloxi.va.gov,22802,44818,7863,1.96552934,167.3458907,22802
consumidor.gov,22802,30665,22016,1.344838172,42.82786598,22802
e-enterprise.gov,22802,33024,4718,1.448294009,64.72454171,22802
godefense.cpms.osd.mil,22802,43245,19657,1.896544163,114.242084,22802
houston.va.gov,22802,40100,17298,1.758617665,189.8632576,22802
hsrd.research.va.gov,22802,86491,12580,3.793132181,124.2421717,22016
jimmycarterlibrary.gov,22802,39314,18871,1.724147005,41.10371897,22802
longbeach.va.gov,22802,51895,15726,2.275896851,87.89711429,23588
marsmobile.jpl.nasa.gov,22802,102217,16512,4.482808526,129.2766863,23588
ndu.edu,22802,44032,18084,1.931058679,293.8639154,20443
northerncalifornia.va.gov,22802,54253,15726,2.379308833,103.7592755,22802
phoenix.va.gov,22802,41673,18084,1.827602842,95.34545215,22016
reaganlibrary.archives.gov,22802,35383,8649,1.551749847,123.3800982,20443
sanctuaries.noaa.gov,22802,47963,19657,2.103455837,111.1730989,22802
search.epa.gov,22802,568481,149393,24.93119025,287.1052539,60544
standards.usa.gov,22802,78628,9435,3.448294009,228.2083589,22802
stopfakes.gov,22802,37741,22016,1.655161828,63.44868871,22802
vote.gov,22802,44818,21230,1.96552934,21.62082273,22802
baypines.va.gov,22016,44818,21230,2.035701308,129.1777798,23588
bts.gov,22016,38528,17298,1.75,104.3207667,21230
cleveland.va.gov,22016,48749,20443,2.21425327,261.1769622,23588
exoplanets.nasa.gov,22016,126591,22802,5.749954578,223.7128906,24375
floridakeys.noaa.gov,22016,80201,18871,3.642850654,169.6775073,22016
idcfoes.bls.gov,22016,235884,8649,10.71420785,305.0695403,24375
rhce.amedd.army.mil,22016,40887,14939,1.857149346,145.2133903,22016
srdata.nist.gov,22016,79414,18084,3.607103924,146.9276435,21230
vehiclestd.fas.gsa.gov,22016,167478,5504,7.607103924,480.9613009,21230
zw.usembassy.gov,22016,47177,12580,2.142850654,196.9630723,22016
afsc.noaa.gov,21230,58185,15726,2.740697127,106.4053227,22802
agcensus.usda.gov,21230,51895,18871,2.444418276,172.478097,21230
cd.usembassy.gov,21230,80987,10222,3.814743288,698.8381065,20443
cybercareers.gov,21230,56612,19657,2.666603862,115.7384833,21230
eyes.nasa.gov,21230,40887,25161,1.925906736,151.1451719,22016
heasarc.gsfc.nasa.gov,21230,35383,20443,1.666650966,70.48007537,21230
indianapolis.va.gov,21230,31451,18871,1.481441357,100.9980217,22016
innovation.ed.gov,21230,103003,12580,4.851766368,589.6921338,22802
mobile.va.gov,21230,44818,17298,2.111069242,186.4407913,18871
modis.gsfc.nasa.gov,21230,77842,12580,3.666603862,488.6200188,19657
montereybay.noaa.gov,21230,62902,10222,2.962882713,172.9225153,22016
pages.18f.gov,21230,43245,11794,2.036975977,182.4038154,20443
science.gsfc.nasa.gov,21230,32238,18871,1.51851154,36.03631653,21230
sites.ed.gov,21230,39314,18084,1.851813472,108.3311823,18871
starport.jsc.nasa.gov,21230,62116,7077,2.925859633,249.7358455,20443
volunteer.va.gov,21230,63689,19657,2.999952897,183.7371173,28306
yali.state.gov,21230,56612,14153,2.666603862,178.9594442,21230
at.usembassy.gov,20443,33024,14153,1.615418481,57.88548647,18871
imls.gov,20443,53467,15726,2.615418481,142.6944186,20443
jobsearch.usajobs.gov,20443,31451,25161,1.538472827,27.3465734,25161
or.water.usgs.gov,20443,40100,15726,1.961551631,84.462799,21230
sservi.nasa.gov,20443,22016,20443,1.076945654,0,22016
visn2.va.gov,20443,27520,7863,1.346182067,34.53896199,18084
westcoast.fisheries.noaa.gov,20443,31451,14939,1.538472827,56.27006799,21230
72a.gsa.gov,19657,150180,11794,7.640026454,393.7604416,18871
gis.ncdc.noaa.gov,19657,37741,20443,1.919977616,95.36012616,14939
itcd.hq.nasa.gov,19657,22016,15726,1.12000814,53.32003866,20443
mchb.hrsa.gov,19657,29879,17298,1.520018314,81.48008343,20443
minneapolis.va.gov,19657,46391,14939,2.360024419,280.4003154,19657
mountainhome.va.gov,19657,40887,16512,2.080022384,312.5603602,19657
nomads.ncdc.noaa.gov,19657,82559,8649,4.199979651,265.7203032,20443
nssc.nasa.gov,19657,36955,11794,1.87999186,244.8402605,15726
ofmpub.epa.gov,19657,96713,22016,4.920028489,177.5602076,25161
research.archives.gov,19657,24375,19657,1.240016279,74.64007733,19657
safetydata.fra.dot.gov,19657,64475,11008,3.280002035,147.2801547,19657
sandiego.va.gov,19657,40100,15726,2.039985756,191.0401892,22016
snaped.fns.usda.gov,19657,27520,16512,1.400010174,78.40006105,18084
solarscience.msfc.nasa.gov,19657,39314,16512,2,135.2401689,21230
ssaisanfrancisco.usajobs.gov,19657,42459,9435,2.159993895,71.64007733,19657
wcatwc.arh.noaa.gov,19657,22802,15726,1.159993895,21.68001221,19657
youthrules.gov,19657,33024,16512,1.680012209,24.6000407,19657
18f.gsa.gov,18871,37741,14153,1.999947009,197.705633,18871
ciencia.nasa.gov,18871,23588,18871,1.249960256,81.49886069,18871
docline.gov,18871,103789,7077,5.499920513,93.04037942,18871
geohazards.usgs.gov,18871,76269,6290,4.041598219,411.9526787,16512
https.cio.gov,18871,31451,18871,1.666631339,60.66583647,18871
map.gsfc.nasa.gov,18871,35383,17298,1.874993376,244.496635,18871
maps.ngdc.noaa.gov,18871,31451,18871,1.666631339,154.9561761,20443
ntp.niehs.nih.gov,18871,69979,16512,3.70828255,109.1235229,18871
oklahoma.va.gov,18871,29092,11794,1.541624715,70.62402628,21230
prodpx-promotool.usps.com,18871,33024,14153,1.749986752,91.62376133,15726
sanfrancisco.va.gov,18871,29092,14153,1.541624715,138.9564411,18871
vip.vetbiz.gov,18871,106934,3931,5.666578348,566.8672036,18871
astronauts.nasa.gov,18084,48749,25947,2.695697854,51.39261225,20443
battlecreek.va.gov,18084,24375,7863,1.347876576,60.088476,18084
beaconregistration.noaa.gov,18084,85705,12580,4.739272285,487.925459,18084
bep.gov,18084,60544,14153,3.347931873,154.1343729,18084
buyusa.gov,18084,37741,15726,2.086982968,116.0029308,17298
challenge.gov,18084,59757,15726,3.304412741,136.6121433,18084
eda.gov,18084,38528,17298,2.130502101,74.91495244,18084
es.sba.gov,18084,44032,15726,2.434859544,108.3505862,18871
ge.usembassy.gov,18084,39314,11794,2.173965937,111.4376244,18084
greateratlantic.fisheries.noaa.gov,18084,27520,19657,1.521787215,35.13133156,18871
martinsburg.va.gov,18084,31451,11008,1.73916169,52.21870161,17298
me.water.usgs.gov,18084,25161,1573,1.391340411,116.3942712,18084
memphis.va.gov,18084,33024,10222,1.826144658,103.2200288,16512
mrmc.amedd.army.mil,18084,50322,6290,2.782680823,170.6130281,16512
my.usembassy.gov,18084,38528,16512,2.130502101,98.00248839,18871
nefsc.noaa.gov,18084,36955,18084,2.043519133,31.47904225,18084
newjersey.va.gov,18084,55826,15726,3.087038266,154.5691219,20443
northflorida.va.gov,18084,31451,17298,1.73916169,109.7853904,17298
peacecorps.usajobs.gov,18084,68406,11794,3.782680823,177.613194,18084
scijinks.gov,18084,22802,14153,1.260893608,42.47931873,18084
stlouis.va.gov,18084,43245,15726,2.391340411,251.0498783,19657
ug.usembassy.gov,18084,31451,11008,1.73916169,93.39366291,18084
unicor.gov,18084,90422,14153,5.000110595,132.7424795,18084
aeronet.gsfc.nasa.gov,17298,88850,6290,5.136431957,134.1377616,17298
dk.usembassy.gov,17298,40887,14939,2.363683663,117.5466528,18084
donotpay.treas.gov,17298,22016,5504,1.272748295,82.50086715,17298
education.usgs.gov,17298,20443,15726,1.181812926,107.2284079,17298
elibraryusa.state.gov,17298,38528,11008,2.227309516,78.81899642,17298
leadership.opm.gov,17298,35383,14939,2.045496589,44.27321078,17298
lightningsafety.noaa.gov,17298,79414,15726,4.590935368,292.1393803,18871
ndupress.ndu.edu,17298,29092,14939,1.681812926,105.4556596,17298
nsi.ncirc.gov,17298,47177,6290,2.727309516,170.9562955,17298
pt.usembassy.gov,17298,38528,9435,2.227309516,10.72736733,18871
reaganlibrary.gov,17298,40100,14153,2.318187074,173.865418,17298
se.usembassy.gov,17298,44032,12580,2.545496589,140.9560065,16512
training.smartpay.gsa.gov,17298,448180,12580,25.90935368,1041.556191,18084
wicworks.fns.usda.gov,17298,53467,12580,3.090935368,188.9565268,18084
autochoice.fas.gsa.gov,16512,655758,3145,39.71402616,1598.132994,18084
cfmedicine.nlm.nih.gov,16512,18084,13367,1.095203488,1.809532461,16512
ch.usembassy.gov,16512,30665,14939,1.857134205,126.7134811,16512
ci.usembassy.gov,16512,48749,11008,2.952337694,161.7609012,14153
co-ops.nos.noaa.gov,16512,55040,6290,3.333333333,59.28536822,16512
fema.usajobs.gov,16512,29879,17298,1.809532461,59.57103924,16512
newengland.water.usgs.gov,16512,24375,1573,1.476199128,353.6168847,16512
npin.cdc.gov,16512,22016,18084,1.333333333,32.2378876,16512
oedci.uspto.gov,16512,94354,12580,5.714268411,78.42811289,15726
papahanaumokuakea.gov,16512,118728,8649,7.190406977,160.5704336,15726
prosthetics.va.gov,16512,36169,18871,2.190467539,69.57097868,17298
search.commerce.gov,16512,29879,9435,1.809532461,246.1889535,14153
wfm.noaa.gov,16512,24375,12580,1.476199128,193.2369186,14939
bja.gov,15726,24375,13367,1.549980923,129.8968587,14939
coastalscience.noaa.gov,15726,40887,11008,2.599961847,385.5406333,13367
dataferrett.census.gov,15726,64475,12580,4.099898258,430.7395396,14153
dhc-europe.amedd.army.mil,15726,16512,3145,1.049980923,34.44919242,15726
durham.va.gov,15726,25947,12580,1.64994277,40.74901437,15726
es-store.usps.com,15726,47177,8649,2.999936411,48.14879817,15726
gsafsd.service-now.com,15726,74697,12580,4.749904617,196.5951927,15726
history.amedd.army.mil,15726,22802,15726,1.449955488,113.7472339,15726
icsw.nhtsa.gov,15726,23588,14939,1.499936411,114.4472212,15726
marinedebris.noaa.gov,15726,40887,13367,2.599961847,295.4928144,14939
nebraska.va.gov,15726,26734,11794,1.699987282,149.5963373,16512
nef.nasa.gov,15726,51895,10222,3.299949129,53.44868371,15726
nnvl.noaa.gov,15726,19657,10222,1.249968206,20.34948493,16512
oceantoday.noaa.gov,15726,26734,14153,1.699987282,133.6467633,15726
oig.state.gov,15726,34596,12580,2.199923693,81.24799695,15726
scijinks.jpl.nasa.gov,15726,24375,14939,1.549980923,81.44804782,14939
st.nmfs.noaa.gov,15726,27520,12580,1.749968206,201.8450973,14153
valor.defense.gov,15726,19657,15726,1.249968206,10.24977744,15726
volcanoes.usgs.gov,15726,38528,13367,2.449955488,86.94785705,18084
bs.usembassy.gov,14939,25947,12580,1.736863244,53.79068211,14939
connecticut.va.gov,14939,25161,12580,1.68424928,98.73907223,14939
cz.usembassy.gov,14939,33024,11794,2.210589732,192.4780106,14939
dvbic.dcoe.mil,14939,18871,12580,1.263203695,47.68525336,14153
echo.epa.gov,14939,74697,15726,5.000133878,515.5379209,14153
fedramp.gov,14939,25161,10222,1.68424928,182.7935605,14939
home.nps.gov,14939,98285,34596,6.579088292,67.68572194,28306
losangeles.va.gov,14939,34596,14153,2.315817658,197.004418,16512
maps.waterdata.usgs.gov,14939,42459,21230,2.84215811,196.1096459,18084
mm.usembassy.gov,14939,37741,8649,2.526340451,113.2130665,15726
pppl.gov,14939,22802,10222,1.526340451,72.73846978,14939
profiles.nlm.nih.gov,14939,25947,11008,1.736863244,49.47479751,14153
southtexas.va.gov,14939,35383,13367,2.368498561,132.6871946,14939
ssaiphiladelphia.usajobs.gov,14939,40100,5504,2.68424928,41.2640739,15726
tt.usembassy.gov,14939,40100,10222,2.68424928,178.9514024,14939
augusta.va.gov,14153,23588,11008,1.666643115,43.38903413,14939
butler.va.gov,14153,31451,5504,2.222214372,177.8895641,11008
calc.gsa.gov,14153,19657,5504,1.388892814,297.112273,13367
ehr.nbc.gov,14153,96713,7077,6.833392214,210.7230269,14153
fayettevillenc.va.gov,14153,22802,11008,1.611107186,142.2227796,15726
federalreporter.nih.gov,14153,41673,1573,2.944464071,164.2228503,13367
gipsa.usda.gov,14153,53467,10222,3.777785628,204.0563838,14153
globalchange.gov,14153,17298,12580,1.222214372,35.38903413,14153
gsa.dotgov.gov,14153,33024,786,2.333356885,787.9475023,14153
healthymeals.fns.usda.gov,14153,38528,18871,2.7222497,303.2789515,14939
hoover.archives.gov,14153,53467,11794,3.777785628,142.444994,14153
hr.usembassy.gov,14153,69193,9435,4.888928142,192.38967,13367
iono.jpl.nasa.gov,14153,14939,7077,1.055535929,0.333356885,14153
kansascity.va.gov,14153,17298,8649,1.222214372,11.94446407,14153
ladsweb.nascom.nasa.gov,14153,157256,8649,11.11114251,493.0575143,15726
milwaukee.va.gov,14153,26734,14153,1.888928142,42.16681976,15726
nasa3d.arc.nasa.gov,14153,47177,13367,3.333356885,128.7782802,13367
newfarmers.usda.gov,14153,38528,12580,2.7222497,160.2783862,15726
omao.noaa.gov,14153,29092,11794,2.055535929,62.16689041,14153
ro.usembassy.gov,14153,22802,8649,1.611107186,92.3892461,14153
saginaw.va.gov,14153,27520,9435,1.944464071,71.55585388,14153
sero.nmfs.noaa.gov,14153,27520,13367,1.944464071,192.7785628,14153
stereo.gsfc.nasa.gov,14153,29879,8649,2.111142514,76.11142514,12580
ustda.gov,14153,47177,9435,3.333356885,178.0007066,14153
vaforvets.va.gov,14153,36955,17298,2.611107186,163.667279,16512
w2.weather.gov,14153,26734,14939,1.888928142,71.38917544,13367
beta.foreignassistance.gov,13367,29879,12580,2.235280916,97.64539538,13367
disc.sci.gsfc.nasa.gov,13367,22016,6290,1.647041221,104.939403,13367
edgarfiling.sec.gov,13367,84132,8649,6.294007631,268.0543129,13367
epa.usajobs.gov,13367,43245,11794,3.235206105,129.1743099,12580
eros.usgs.gov,13367,37741,12580,2.823445799,313.1711678,13367
fapiis.gov,13367,34596,7863,2.588164884,28.70539388,13367
fedidcard.gov,13367,14939,10222,1.117603052,3.176404578,13367
financialresearch.gov,13367,51108,7863,3.823445799,234.1725144,13367
hines.va.gov,13367,23588,10222,1.764644273,67.82239844,13367
kinetics.nist.gov,13367,157256,5504,11.76449465,732.1052592,14153
landslides.usgs.gov,13367,35383,10222,2.647041221,118.115658,14153
np.usembassy.gov,13367,29879,11794,2.235280916,61.23423356,13367
oceancolor.gsfc.nasa.gov,13367,27520,10222,2.058801526,156.8209022,15726
pmm.pps.eosdis.nasa.gov,13367,41673,11008,3.117603052,615.4602379,12580
retireefehb.opm.gov,13367,32238,11008,2.411760305,148.5268946,11008
search.kansas.gov,13367,24375,8649,1.82352061,37.41116182,13367
tools.niehs.nih.gov,13367,60544,3145,4.529363358,202.055435,12580
wc3-www.identitytheft.gov,13367,13367,13367,1,0,13367
airconsumer.dot.gov,12580,29092,6290,2.312559618,350.263752,12580
airforce.usajobs.gov,12580,43245,12580,3.437599364,279.0109698,12580
asean.usmission.gov,12580,23588,7077,1.875039746,219.1336248,12580
beta.bls.gov,12580,80987,17298,6.437758347,312.1997615,13367
bh.usembassy.gov,12580,33024,9435,2.625119237,59.12734499,14153
celebrating200years.noaa.gov,12580,14153,8649,1.125039746,20.62583466,12580
cio.gov,12580,17298,11794,1.375039746,15.81311606,12580
dayton.va.gov,12580,24375,8649,1.937599364,140.8805246,12580
epss.ahrq.gov,12580,47177,11794,3.750158983,283.6986486,12580
goes-r.gov,12580,18871,10222,1.500079491,124.0673291,12580
hawaiihumpbackwhale.noaa.gov,12580,48749,7863,3.875119237,147.8807631,12580
interact.gsa.gov,12580,15726,11794,1.250079491,18.75071542,12580
irma.nps.gov,12580,35383,14939,2.81263911,438.3922099,10222
j1visawaiverstatus.state.gov,12580,86491,7863,6.875278219,166.7565183,16512
manati.star.nesdis.noaa.gov,12580,25947,3145,2.062559618,28.25111288,11794
maryland.va.gov,12580,32238,15726,2.56263911,227.758903,14939
math.nist.gov,12580,36955,11008,2.937599364,127.8800477,12580
neo.sci.gsfc.nasa.gov,12580,35383,10222,2.81263911,369.0144674,12580
portalx.cbs.nist.gov,12580,25161,12580,2.000079491,15.50063593,12580
scap.nist.gov,12580,15726,7863,1.250079491,14.06303657,12580
ssa.usajobs.gov,12580,77056,15726,6.125278219,88.25349762,14153
ssaichicago.usajobs.gov,12580,34596,3931,2.750079491,78.87806041,12580
tennesseevalley.va.gov,12580,26734,11794,2.125119237,143.6931638,12580
ti.arc.nasa.gov,12580,34596,13367,2.750079491,256.6975358,13367
vetbiz.gov,12580,18084,11008,1.437519873,55.62718601,12580
alaskafisheries.noaa.gov,11794,40100,7077,3.400033916,102.4018145,13367
blogs.fda.gov,11794,24375,16512,2.066728845,405.0072918,11794
buffalo.va.gov,11794,21230,11008,1.800067831,159.2028998,12580
cfm.va.gov,11794,18871,11008,1.600050873,78.53476344,11794
eweb.sba.gov,11794,91209,7077,7.733508564,236.0708835,11008
fargo.va.gov,11794,29879,11008,2.533406817,88.80159403,14153
fsrs.gov,11794,128950,6290,10.93352552,1029.085213,11008
ghgdata.epa.gov,11794,14939,11794,1.266661014,14.26691538,11794
miami.va.gov,11794,35383,9435,3.000084789,156.3361879,14153
paloalto.va.gov,11794,15726,11794,1.333389859,193.1368492,11008
phil.cdc.gov,11794,106148,18871,9.000169578,95.86840766,14939
portale.eoir.justice.gov,11794,290138,3145,24.60047482,1792.165677,27520
providence.va.gov,11794,22016,8649,1.866711887,75.13472952,11794
realestatesales.gov,11794,117942,11008,10.00016958,225.4041038,11794
robotics.nasa.gov,11794,19657,10222,1.66669493,119.1354926,11794
romania.usembassy.gov,11794,34596,9435,2.933355944,350.7396982,11794
saltlakecity.va.gov,11794,49536,10222,4.200101747,103.5351874,15726
spaceflight.nasa.gov,11794,31451,15726,2.66669493,234.5375615,13367
specsintact.ksc.nasa.gov,11794,42459,3931,3.600050873,378.0067831,11008
vetcenter.va.gov,11794,15726,12580,1.333389859,32.66728845,11008
viewer.nationalmap.gov,11794,14939,11794,1.266661014,17.6669493,12580
www2c.cdc.gov,11794,22802,15726,1.933355944,46.40079702,13367
zm.usembassy.gov,11794,30665,7863,2.600050873,250.0044938,11008
archive.msha.dir.labor.gov,11008,11794,2359,1.071402616,28.49981831,11008
blackhills.va.gov,11008,22802,4718,2.071402616,23.28561047,11794
cascom.army.mil,11008,21230,6290,1.928597384,109.6421693,11008
dawn.jpl.nasa.gov,11008,38528,13367,3.5,274.7839753,11008
dlmf.nist.gov,11008,32238,6290,2.928597384,58.28533794,11008
don.usajobs.gov,11008,43245,10222,3.928506541,133.070585,10222
eagnmncom117b.usps.com,11008,16512,5504,1.5,8.857103924,11008
elvprogram.ksc.nasa.gov,11008,23588,1573,2.142805233,42.71402616,11008
esrs.gov,11008,132095,5504,11.99990916,1066.993368,11008
essearch.energystar.gov,11008,20443,10222,1.857103924,9.928506541,11794
fvap.gov,11008,39314,10222,3.571402616,88.85655887,11008
landfire.cr.usgs.gov,11008,60544,786,5.5,181.7131177,7077
lomalinda.va.gov,11008,19657,11794,1.785701308,101.2136628,9435
meps.ahrq.gov,11008,99071,5504,8.999909157,964.2083031,11794
move.va.gov,11008,37741,9435,3.428506541,175.2132086,12580
natice.noaa.gov,11008,16512,9435,1.5,145.2847929,11008
oalj.dol.gov,11008,27520,6290,2.5,205.3558321,11008
polytrauma.va.gov,11008,12580,12580,1.142805233,0.428597384,11794
publications.usa.gov,11008,25947,14153,2.357103924,40.21402616,12580
pueblo.gpo.gov,11008,164333,8649,14.92850654,235.5699491,11008
qa.usembassy.gov,11008,24375,11008,2.214298692,41.14262355,11008
science.nature.nps.gov,11008,12580,10222,1.142805233,35.28551962,11008
search.ada.gov,11008,21230,9435,1.928597384,197.2845203,786
search.nccih.nih.gov,11008,18871,3931,1.714298692,325.9980015,11008
ssaiatlanta.usajobs.gov,11008,39314,5504,3.571402616,155.2132994,13367
stopfraud.gov,11008,22802,10222,2.071402616,51.92823401,11008
syracuse.va.gov,11008,14939,10222,1.357103924,22.21411701,11794
treasury.usajobs.gov,11008,77056,16512,7,313.0694949,17298
uz.usembassy.gov,11008,37741,5504,3.428506541,235.2842478,11008
web.sba.gov,11008,77056,9435,7,557.496548,11794
apps.nlrb.gov,10222,346750,8649,33.92193309,303.9127372,20443
asd.gsfc.nasa.gov,10222,11794,8649,1.153785952,12.76883193,10222
bulkorder.ftc.gov,10222,33024,10222,3.230678928,83.07405596,9435
bva.va.gov,10222,18871,14153,1.84611622,220.069458,11008
centraliowa.va.gov,10222,13367,7863,1.307669732,104.6118176,10222
clintonlibrary.gov,10222,18084,9435,1.769125416,108.534729,10222
columbiasc.va.gov,10222,23588,11008,2.307571904,80.84337703,11008
dieteticinternship.va.gov,10222,87277,3931,8.538153003,707.6681667,10222
disposal.gsa.gov,10222,29092,11008,2.846018392,102.073469,10222
fishwatch.gov,10222,18871,8649,1.84611622,26.1529055,10222
ga.water.usgs.gov,10222,11794,8649,1.153785952,12.84572491,11008
giovanni.sci.gsfc.nasa.gov,10222,13367,3931,1.307669732,71.38221483,10222
hallways.cap.gsa.gov,10222,11794,9435,1.153785952,0.230776756,9435
its.dot.gov,10222,18871,9435,1.84611622,69.92066132,10222
landsatlook.usgs.gov,10222,27520,7863,2.69223244,120.3805518,11008
madison.va.gov,10222,21230,7863,2.076892976,173.2248092,10222
nasai.usajobs.gov,10222,79414,7077,7.768929759,289.9901194,10222
neworleans.va.gov,10222,19657,8649,1.923009196,39.6140677,11008
nist.time.gov,10222,12580,10222,1.230678928,78.07425161,11008
ocfo.usda.gov,10222,25161,2359,2.461455684,120.6112307,9435
oefoif.va.gov,10222,20443,7077,1.999902172,55.6903737,10222
pcmh.ahrq.gov,10222,20443,10222,1.999902172,185.6090785,11008
pittsburgh.va.gov,10222,27520,8649,2.69223244,128.2263745,13367
qualityindicators.ahrq.gov,10222,29092,10222,2.846018392,236.2996478,9435
search.ers.usda.gov,10222,12580,7077,1.230678928,32.4604774,9435
seaway.dot.gov,10222,11008,3145,1.076892976,2.923009196,10222
tj.usembassy.gov,10222,23588,3931,2.307571904,198.2240266,10222
westpalmbeach.va.gov,10222,23588,8649,2.307571904,70.30532185,10222
admongo.gov,9435,23588,7077,2.500052994,410.0161102,9435
albany.va.gov,9435,26734,5504,2.833492316,308.2621092,7077
asrs.arc.nasa.gov,9435,29092,7863,3.083412825,120.4214096,11008
aviris.jpl.nasa.gov,9435,40887,1573,4.33354531,179.3403286,10222
bloodcell.transplant.hrsa.gov,9435,21230,9435,2.250132485,38.00148384,9435
chesapeakebay.noaa.gov,9435,9435,8649,1,24.41759406,9435
danville.va.gov,9435,18084,7077,1.916693164,97.25384208,10222
ecos.fws.gov,9435,62116,5504,6.583571807,495.6027557,9435
es.ndu.edu,9435,21230,4718,2.250132485,16.4172761,9435
fayettevillear.va.gov,9435,14153,6290,1.500052994,111.6710122,8649
gary.jobcorps.gov,9435,13367,7077,1.416746158,83.58664547,7077
gy.usembassy.gov,9435,23588,2359,2.500052994,69.16936937,9435
